"","x"
"1",8.387215188
"2",9.264573613
"3",10.12628084
"4",8.896651477
"5",10.84892297
"6",9.51206219
"7",6.505267428
"8",9.093113862
"9",6.824288157
"10",9.668941676
"11",12.50505192
"12",11.78130568
"13",9.155171579
"14",10.6983232
"15",9.481736472
"16",10.15598726
"17",11.7065653
"18",11.50325494
"19",10.9047721
"20",9.510462952
"21",8.698203089
"22",7.103233442
"23",11.62697252
"24",8.81866757
"25",10.9246305
"26",10.35099075
"27",10.41220456
"28",9.947928895
"29",8.622709556
"30",8.069343846
"31",5.744424054
"32",9.16066692
"33",8.954504915
"34",12.18937654
"35",12.13346976
"36",8.863475645
"37",10.20582335
"38",10.59392437
"39",7.77045826
"40",12.36913866
"41",8.940770245
"42",13.30376261
"43",11.21487585
"44",6.942585697
"45",9.100788544
"46",13.28197574
"47",9.519355157
"48",7.993528644
"49",8.79501553
"50",9.072133817
"51",11.49772593
"52",11.67943665
"53",9.588014358
"54",11.88453856
"55",6.641574458
"56",8.472856759
"57",9.666610683
"58",9.212673818
"59",9.262438782
"60",5.128354549
"61",8.674309171
"62",7.93216983
"63",9.521814204
"64",9.098083054
"65",8.827609372
"66",10.85286534
"67",8.172285611
"68",10.92990939
"69",7.930718335
"70",10.5760852
"71",8.758445031
"72",13.12199863
"73",6.79661684
"74",7.964648217
"75",9.269530159
"76",8.924421921
"77",8.61052346
"78",7.41584028
"79",9.116777022
"80",10.71072772
"81",9.739736816
"82",7.063976825
"83",5.682012551
"84",9.225997669
"85",13.16595263
"86",7.870928468
"87",9.528656436
"88",12.15402747
"89",9.242272479
"90",9.344204536
"91",14.04832676
"92",6.736667974
"93",9.974605395
"94",9.271033881
"95",11.15973958
"96",12.56574042
"97",7.671162429
"98",9.510969851
"99",6.304255322
"100",8.320355755
"101",10.31504884
"102",8.966153333
"103",10.81449247
"104",9.778354947
"105",9.588979272
"106",10.3167076
"107",10.99739107
"108",5.500884125
"109",9.692043322
"110",5.936833731
"111",12.42739012
"112",5.794450055
"113",9.185598676
"114",12.12343305
"115",10.39875818
"116",11.4092852
"117",11.77258695
"118",12.03366239
"119",10.48462261
"120",10.32101342
"121",9.6817221
"122",10.27553736
"123",9.539938527
